Roaster,Name,Roast Profile,Flavour Notes,Origin / Location,Varietal / Species,Process,Elevation,Price,Product Link
Caarabi Coffee Roasters,Melkodige Estate - Wine Yeast Fermented Anaerobic Naturals,Light-Medium Roast,"Grapes, Chocolate, Figs, Mango, Jackfruit","Melkodige Estate, Kudremukh Biosphere, Western Ghats, Karnataka",Arabica Mk Star – SLN 5,Anaerobic Natural (Wine Yeast Fermentation),,"INR 1,250",https://caarabicoffee.com/collections/shop-coffee/products/melkodige-esate-wine-yeast-fermented-anaerobic-naturals
Caarabi Coffee Roasters,SPECIALTY BLEND DUO,Medium to Medium-Dark Roast,CHOCOLATE • BROWN SPICE • MOLASSES SWEETNESS • TOASTED NUTS • FULL BODY,,"Man On Mars, Cosy AF",,,"INR 1,499",https://caarabicoffee.com/collections/shop-coffee/products/specialty-blend-duo
Caarabi Coffee Roasters,Attikan Estate - Cultured Naturals,Light Roast,"Strawberry, Red Wine, Black Grapes, Chamomile","Attikan Estate, Biligiri Hills, Karnataka","SLN 9, HDT*Catuai",Cultured Naturals (Lactobacillus + Pichia Fermentation),,"INR 1,250",https://caarabicoffee.com/collections/shop-coffee/products/attikan-estate-cultured-naturals
Caarabi Coffee Roasters,French Roast,Ultra Dark - French Roast,"Smoky, Bold, sweet finish.","Chikmagalur, Karnataka",Baarbara & Thogarihunkal,"Washed AA Arabica, Honey Sun Dried Arabica",,INR 800,https://caarabicoffee.com/collections/shop-coffee/products/french-roast
Caarabi Coffee Roasters,Cosy AF,Medium Roast,"Brown Spice, Toasted Almond, Licorice, Jasmine, Dark Chocolate, Molasses","Chikmagalur & Sakleshpur, Karnataka","Karadykan Dual Fermented, Ram Estate Anaerobic Honey, Ratnagiri Culture Naturals","Dual Fermented Arabica, Anaerobic Honey Arabica, Cultured Naturals",,INR 950,https://caarabicoffee.com/collections/shop-coffee/products/cosy-af
Caarabi Coffee Roasters,Melkodige Estate - Chandragiri Washed,Medium Roast,"Coconut, Gooseberries, Milk Chocolate, Lemon Zest","Melkodige Estate, Kudremukh Biosphere, Western Ghats, Karnataka",Arabica Chandragiri,Washed,4000 feet above sea level,INR 900,https://caarabicoffee.com/collections/shop-coffee/products/melkodige-estate-chandragiri-washed
Caarabi Coffee Roasters,RATNAGIRI ESTATE- YEAST CARBONIC NATURALS,Light Roast,"Lemon Peel, Red Grapes, Mulberry, Nougat Sweet Finish","Ratnagiri Estate, Bababudangiri, Karnataka",Arabica (Mixed),Yeast Carbonic Naturals,,"INR 1,350",https://caarabicoffee.com/collections/shop-coffee/products/ratnagiri-estate-yeast-carbonic-naturals
Caarabi Coffee Roasters,Colombia Decaf,Medium Roast,"Cascara Tea, Cape Gooseberry, Orange",Colombia,Various,Decaf CO2,4700 to 5600 feet above sea level,"INR 2,150",https://caarabicoffee.com/collections/shop-coffee/products/colombia-decaf
Caarabi Coffee Roasters,YC CULTURE NATURALS — RATNAGIRI ESTATE,Light Roast,"JASMINE, ORANGE BLOSSOM, BANANA, CASCARA, PEPPERMINT","Ratnagiri Estate, BABABUDANGIRI, KARNATAKA",,YC Culture Naturals,,"INR 1,350",https://caarabicoffee.com/collections/shop-coffee/products/yc-culture-naturals-ratnagiri-estate
Caarabi Coffee Roasters,Ratnagiri Estate - Lab Room Naturals,Medium Roast,"Sour Grape, Blackcurrant, Gooseberry, Clove","Ratnagiri Estate, India",RT-RG-5/5,"Washed Arabica, Dual Fermented Washed Arabica",1300–1600 MASL,"INR 1,250",https://caarabicoffee.com/collections/shop-coffee/products/ratnagiri-estate-lab-room-naturals
Caarabi Coffee Roasters,BAARBARA WHISKEY BARREL AGED,Medium Roast,"Sweet Cereal, Cacao Nibs, Oak, Pecan, Winey","Baarbara Estate, Chikmagalur, Karnataka",,Whiskey Barrel Aged,,"INR 1,350",https://caarabicoffee.com/collections/shop-coffee/products/baarbara-whiskey-barrel-aged
