Roaster,Name,Roast Profile,Flavour Notes,Origin / Location,Varietal / Species,Process,Elevation,Price,Product Link
Quick Brown Fox Coffee Roasters,Ratnagiri Estate [Bioreactor Thermal Shock Naturals - Lab Inoculated Microbes] [Filter Roast] [Micro-Lot],Filter,"Raspberry, Apricot, Plum","Ratnagiri Estate, Bababudan Giri, KN",SLN 9,Thermal Shock Naturals; Bioreactor with Lab-Inoculated Microbes,1250 - 1450m,INR 999,https://qbfcoffee.com/products/ratnagiri-estate-bioreactor-thermal-shock-naturals-lab-inoculated-microbes-filter-roast-micro-lot-1
Quick Brown Fox Coffee Roasters,Salawara Estate [CM Naturals] [Filter Roast] [Microlot],Filter,"Pear, Green Apple, Warm Spices","Salawara Estate, Hassan, KN",SLN 795 / SLN 13,Naturals; 72 hours Carbonic Maceration,3650ft,INR 999,https://qbfcoffee.com/products/salawara-estate-cm-naturals-filter-roast-microlot
Quick Brown Fox Coffee Roasters,Stanmore Estate [Naturals] [Filter Roast] [Microlot],Filter,"Huckleberry, Honeysuckle, Lemon Verbena","Stanmore Estate, Shevaroy Hills, TN",SLN 9,Naturals,1400m,INR 999,https://qbfcoffee.com/products/stanmore-estate-naturals-filter-roast-microlot
Quick Brown Fox Coffee Roasters,Salawara Estate [Yeast Anaerobic Naturals] [Espresso Roast] [Microlot],Espresso,"Chocolate Fudge, Dried Fruit, Molasses","Salawara Estate, Hassan, KN",SLN 795 / Kent,Yeast Anaerobic Naturals; 48 hours,3500ft,INR 999,https://qbfcoffee.com/products/salawara-estate-yeast-anaerobic-naturals-espresso-roast-microlot
Red Sirocco,Alpha Roast,Medium Light,"Hazelnut, Stone Fruit","Bababudan, Ethiopia, Kalladevarapura",Various,"Arabica Washed, Honey Sundried",1500-2200 msl,INR 775,https://redsirocco.com/product/alpha-roast/
Red Sirocco,Arakku Valley,Medium Light,"Citrus, Medium Body, Vanilla","Arakku, Sunkarametta",SLN 795,Washed Arabica,1100 msl,INR 575,https://redsirocco.com/product/arakku-valley/
Red Sirocco,Cinnamon,Light,"Berry, Blossom, Citrus","Antioquia, Bababudan, Ethiopia, Kalladevarapura",Various,Arabica Washed Bulk,1320-1870 msl,INR 775,https://redsirocco.com/product/cinnamon/
Red Sirocco,Coorg Naturals,Medium Light,"Citrus, Jackfruit",Crystal Valley Coorg,Sln 6,Anaerobic Fermented-Arabica Naturals,1000 msl,INR 575,https://redsirocco.com/product/coorg-naturals/
Red Sirocco,Crescendo at Hardoor,Medium,"Black Plum, Dried Fig, Red Grapes",Madikeri,"Chandragiri, S795, S9",Arabica Naturals,1050 msl,INR 800,https://redsirocco.com/product/crescendo-at-hardoor/
Red Sirocco,Decaffeinated Coffee Beans,Medium,"Nutty, Roasted almond, Toast Like",,,Washed Arabica -100%,,INR 700,https://redsirocco.com/product/decaffeinated-coffee-beans/
Red Sirocco,Ethiopian Elegance,Light,"Floral, Smooth Body, Tea Like",Ethiopia,Ethiopia Sidamo,Washed Arabica Bulk,1550-2200 msl,INR 1200,https://redsirocco.com/product/ethiopian-elegance/
Red Sirocco,First Rush,Medium,Rich Caramel,"Chikmagalur, Kalladevarapura",Various,Washed Arabica -100%,900-1500 msl,INR 550,https://redsirocco.com/product/first-rush/
Red Sirocco,Harmony of Hospura,Medium,"Chamomile, Honey, Yellow-Pink Fruit",Chikmagalur,"Chandragiri, S795",Arabica Anaerobic 92 hrs,1325msl,INR 800,https://redsirocco.com/product/harmony-of-hospura/
Red Sirocco,Italia Roast,Dark,Dark Roast,Bababudan,Various,Washed Arabica -100%,900-1500 msl,INR 575,https://redsirocco.com/product/italia-roast/
Red Sirocco,Monsoon Malabar,Medium,"Earthy, Medium Body, Melow, Tobacco",,,Washed Arabica -100%,,INR 575,https://redsirocco.com/product/monsoon-malabar/
Red Sirocco,Mysore Nuggets,Medium Dark,"Heavy & Creamy Body, Roasted Hazelnut","Chaudicadoo, Coorg",WASHED-SL 795,Mysore Nuggets Extra Bold,1100-1500 msl,INR 550,https://redsirocco.com/product/mysore-nuggets/
Red Sirocco,Sunny Over Hulikere,Medium,"Apple Jam, Cinamon, Malta Orange",Chikmagalur,S5B,Washed Arabica -100%,1310msl,INR 800,https://redsirocco.com/product/sunny-over-hulikere/
Rossette Coffee,Ratnagiri Peach Co-Fermented Naturals (SCA 88),Light Roast,"Peach, Apricot, Honey, Rose Finish","Chikmagalur, Karnataka",SLN 9,Yeast Inoculated Naturals Co-Fermented with Peach,1450 MASL,"Rs. 1,000.00",https://rossettecoffee.com/products/ratnagiri-peach-co-fermented-naturals-sca-88
Rossette Coffee,Ratnagiri Whiskey Barrel Aged Naturals (SCA 87+),Medium Roast,"single malt whiskey, cranberry , caramel, plum cake","Chikmagalur, Karnataka",Catuai,Anaerobic Naturals + Whiskey Barrel Aged,1450 MASL,"Rs. 1,250.00",https://rossettecoffee.com/products/ratnagiri-whiskey-barrel-aged-naturals-sca-87
Rossette Coffee,Gungegiri Dark Honey,Medium,"Banana Bread, Clementine, Jaggery, Kiwi","Chikmagalur, Karnataka",SLN 13,32H Anaerobic Honey Sun Dried,1450 MASL,Rs. 800.00,https://rossettecoffee.com/products/gungegiri-dark-honey
Rossette Coffee,Yelnoorkhan Yeast Anaerobic Honey (SCA 85+),Medium,"Purple Grapes, Java Plum, Raisin, Stone Fruit","Mullayangiri, Karnataka",SLN 13,72H Yeast Anaerobic Honey,1616 MASL,Rs. 850.00,https://rossettecoffee.com/products/yelnoorkhan-honey-sca-85
Rossette Coffee,Ratnagiri Strawberry Co-Fermented Naturals (SCA 88+),Light Roast,"Strawberry, Bubblegum Cotton Candy, Cherry Blossom","Chikmagalur, Karnataka",SLN 9,Yeast Inoculated Naturals Co-Fermented with Strawberry,1450 MASL,"Rs. 1,000.00",https://rossettecoffee.com/products/ratnagiri-strawberry-co-fermented-naturals-sca-88
Rossette Coffee,Ratnagiri Watermelon Co-Fermented Naturals (SCA 87+),Light Roast,"Watermelon, Purple Grapes, Jolly Rancher Candy, Raspberries","Chikmagalur, Karnataka",SLN 9,Yeast Inoculated Naturals Co-Fermented with Watermelon,1450 MASL,"Rs. 1,000.00",https://rossettecoffee.com/products/ratnagiri-watermmelon-co-fermented-naturals-sca-87
Rossette Coffee,Hardoor Estate (Farm Organic ) Washed,Medium,"Rasin, Grapes, Brown Sugar, Floral Honey","Coorg, Karnataka",SLN 13,16 H Dry Fermented Washed,1050 MASL,Rs. 700.00,https://rossettecoffee.com/products/hardoor-estate-farm-organic-washed
Rossette Coffee,Basankhan Fermented Washed,Medium-Dark,"Tangerine, Prune, Cane Syrup, Cocoa","Chikmagalur, Karnataka",SLN 795,48 H Fermented Washed,1470 MASL,Rs. 700.00,https://rossettecoffee.com/products/basankhan-fermented-wash
Rossette Coffee,Robusta Kaapi Royale (Vienna),Dark Roast,"Cacao Nibs, Vanilla, Spices, Roasted Almonds","Magundi, Karnataka",CXR,Double Fermented Washed,1000 MASL,Rs. 600.00,https://rossettecoffee.com/products/robusta-kaapi-royale-vienna
Rossette Coffee,Robusta Kaapi Royale,Medium-Dark Roast,"Caramel, Cinnamon, Chocolate, TropicalFruits, Nutty","Magundi, Karnataka",CXR,Double Fermented Washed,1000 MASL,Rs. 600.00,https://rossettecoffee.com/products/robusta-kaapi-royale
Rossette Coffee,Ratnagiri Hydro Honey (SCA 86+),Light Roast,"Peach Tea, Stone Fruit, Sugarcane, Floral","Chikmagalur, Karnataka",SLN 9,Sequential Fermented Hydro Honey,1450 MASL,Rs. 900.00,https://rossettecoffee.com/products/ratnagiri-hydro-honey-sca-86
Rossette Coffee,Rosselle Blend (SCA 88+),Light-Medium Roast,"Lychee, Custard Apple, Rose, Berries, White Florals","Chikmagalur, Karnataka & Huila, Colombia",Catuai & Caturra,Yeast Anaerobic + Thermal Shock Naturals,1450-1750 MASL,"Rs. 1,100.00",https://rossettecoffee.com/products/rosselle-blend-india-colombia-sca-88
Rossette Coffee,Colombian Huila Decaf,Medium Roast,"Valencia Orange, Roasted Hazelnut, Chocolate Spread","San Agustín, Huila, Colombia",Caturra + Castillo,DCM Decaf Process,1900 MASL,"Rs. 1,600.00",https://rossettecoffee.com/products/colombian-huila-decaf
Rossette Coffee,Wave,Espresso,"bittersweet chocolate, butter biscuits, and caramel","Chikmagalur, Karnataka",Mixed Varietal,Washed+Naturals,1000-1400 MASL,Rs. 600.00,https://rossettecoffee.com/products/wave
Rossette Coffee,Midnight Blues,Dark,"cacao nibs, sweet spices, and toasted nuts","Chikmagalur, Karnataka",Mixed Varietal,Washed+Naturals,1400 MASL,Rs. 600.00,https://rossettecoffee.com/products/midnight-blues
Rossette Coffee,Equinox,Espresso,"Ferrero Rocher*, Maple Syrup, Dried fruits",Chikmagalur+Pulney Hills,Mixed,Washed+Honey+Monsooned,1650 MASL,Rs. 700.00,https://rossettecoffee.com/products/equinox-arabica-blend
Rossette Coffee,Harley Whiskey Barrel Aged (SCA 87+),Medium,"Bailey's, Tropical Spices, Vanilla Bean, Granny Smith","Sakleshpur, Karnataka",SLN 9,Whiskey Barrel Aged,1100 MASL,"Rs. 1,250.00",https://rossettecoffee.com/products/harley-whiskey-barrel-aged
Rossette Coffee,Harley Rum Aged (SCA 87+),Medium,"Rum & Rasins, Blueberry, Orange Bitters","Sakleshpur, Karnataka",SLN 9,Rum Aged,1050 MASL,"Rs. 1,200.00",https://rossettecoffee.com/products/harley-rum-aged
Rossette Coffee,Truffle Twilight,Espresso,"Fudge Brownie, Cacao, Caramel ,Figs","Chikmagalur, Karnataka",SLN 795,Washed,1650 MASL,Rs. 600.00,https://rossettecoffee.com/products/truffle-twilight
Rossette Coffee,Vienna Roast,Dark,"Dark Chocolate, Bittersweet, Smoky Finish","Chikmagalur, Karnataka",SLN 795,Washed,1600 MASL,Rs. 600.00,https://rossettecoffee.com/products/vienna-roast
Savorworks Roasters,Vienna - Dark Roast,Dark,"Roasted Hazelnut, Dark Chocolate, Raisin",Riverdale Estate,SLN-9 & SLN-795,Mixed Fruit Fermented Naturals,1450 MASL,Rs. 630.00,https://www.savorworksroasters.com/products/vienna-dark-roast
Savorworks Roasters,Riverdale - Medium to Dark Roast,Medium Dark,"Fig ,Nougat, Toffee, Dark Chocolate",Riverdale Estate,,Washed,,Rs. 630.00,https://www.savorworksroasters.com/products/riverdale-medium-dark-roast
Savorworks Roasters,Boss's Wife - House Blend,Medium,"Peach, Jaggery, Roasted Almond, Dark Chocolate",Ratnagiri Estate & Riverdale Estate,,Washed and Anaerobic Black Honey,,Rs. 630.00,https://www.savorworksroasters.com/products/bosss-wife-house-blend
Siolim Speciality Coffee Roasters,Candolim Blend,Medium–Dark,Nutty / Maple / Sweet Spice,,,Blend,1350 MASL,Rs. 790.00,https://www.siolim.coffee/products/candolim-blend
Siolim Speciality Coffee Roasters,Aarambol Blend,Medium–Dark,Berries / Cocoa / Brown Sugar,,,Blend,1350 MASL,Rs. 790.00,https://www.siolim.coffee/products/aarambol-blend
Siolim Speciality Coffee Roasters,Anjuna Blend,Medium Dark,Dark Chocolate / Raisins / Pear,,,Washed and Naturals,1350 MASL,Rs. 790.00,https://www.siolim.coffee/products/anjuna-blend
Siolim Speciality Coffee Roasters,Morjim Blend,Medium,Dark Chocolate / Cherry Fruit / Almond,Ratnagiri Estate,,Blend,1350 MASL,Rs. 790.00,https://www.siolim.coffee/products/morjim-blend
Siolim Speciality Coffee Roasters,Vasco Da Gama Blend,Medium Dark,Milk Chocolate / Berries / Apple,,,Washed and Naturals,1350 MASL,Rs. 790.00,https://www.siolim.coffee/products/vasco-da-gama-cold-brew-blend
Siolim Speciality Coffee Roasters,Excelsa,Light - Medium,Lychee / Jackfruit / Ripe Banana Sweetness,"Mooleh Manay Estate, Coorg",Excelsa,Natural - 84 hours Yeast Fermented,1000M,Rs. 800.00,https://www.siolim.coffee/products/excelsa
Siolim Speciality Coffee Roasters,Whiskey Barrel Aged,Medium,Caramel Chocolate / Mixed Berries / Malty,Ratnagiri Estate,Cauvery,Natural Process; whiskey barrel-aged,1350 MASL,"Rs. 1,200.00",https://www.siolim.coffee/products/whiskey-barrel-aged
Siolim Speciality Coffee Roasters,Rum Barrel Aged,Medium,Milk Chocolate / Jackfruit / Molases,Ratnagiri Estate,Cauvery,Natural Processed; rum barrel-aged,1350 MASL,"Rs. 1,200.00",https://www.siolim.coffee/products/rum-barrel-aged
Siolim Speciality Coffee Roasters,Ratnagiri Estate Washed Coffee,Medium,Milk Chocolate / Cherry Fruit / Raisins,Ratnagiri Estate,Cauvery,Washed Process,1350 MASL,Rs. 790.00,https://www.siolim.coffee/products/ratnagiri-washed
Siolim Speciality Coffee Roasters,Raxidi Lobo's W1 Natural,Light Medium,Pear / Black Tea / Goose Berries,,SLN 5B,20 hrs Anaerobic Naturals,1000 MASL,Rs. 980.00,https://www.siolim.coffee/products/raxidi-lobo-w1
Siolim Speciality Coffee Roasters,Raxidi Lobo's P1 Natural,Light Medium,Cloves / Chocolate / Dark Cherry,,SLN 5B,18 hrs Anaerobic Naturals,1000 MASL,Rs. 980.00,https://www.siolim.coffee/products/raxidi-lobo-p1
Subko Coffee Roasters,"Project Pearl, Ratnagiri Estate, Karnataka (SCA 86+): Culture naturals+ Anaerobic Naturals: Filter Roast (Light)",Filter Roast (Light),"Marigold, dragon fruit, peach tea","Ratnagiri Estate, Karnataka",Catuai + Hemavathi,Culture Naturals+ Anaerobic Naturals,1356 MASL,Rs. 995.00,https://www.subko.coffee/products/project-pearl-ratnagiri-estate-karnataka-sca-86-culture-naturals-anaerobic-naturals-filter-roast
Subko Coffee Roasters,"Mooleh Manay: Coorg, Karnataka | Excelsa | 84 Hours Yeast Inoculated Natural | Medium Roast",Medium Roast,"Champagne, Green Grapes, Dry Dates","Mooleh Manay, Coorg, Karnataka",Excelsa,Carbonic Macerated; 84 Hours Yeast Inoculated Natural,,"Rs. 1,095.00",https://www.subko.coffee/products/mooleh-manay-coorg-karnataka-sicc-84-hours-yeast-inoculated-natural-medium-roast
Subko Coffee Roasters,"Subko VLGE, Paderu, Andhra Pradesh | Gurram Hand Washed | Medium Roast",Medium Roast,"Honey, Walnuts, Brown Sugar","SUBKO VLGE, Paderu, Andhra Pradesh",Sln. 9,Gurram Hand Washed,935 MASL,Rs. 895.00,https://www.subko.coffee/products/lot-sv09
Subko Coffee Roasters,"Agave Barrel Aged Washed: Gandha, Andhra Pradesh | Arabica | Medium Roast",Medium Roast,"Melon, Peach Sorbet, Jaggery","Gandha, Andhra Pradesh",Arabica,Agave Barrel Aged + Gurram Hand Washed,,"Rs. 1,300.00",https://www.subko.coffee/products/mooleh-manay-coorg-karnataka-excelsa-84-hours-yeast-inoculated-natural-medium-roast-copy-1
Subko Coffee Roasters,"Project 360, Badra Estates, Karnataka: Black Honey, Filter Roast (Medium-Light)",Filter Roast (Medium-Light),"Blackberry, Plum Jam, Nutmeg","Badra Estates, Karnataka",SLN 795,Black Honey,795 - 1050 MASL,Rs. 995.00,https://www.subko.coffee/products/project-360-badra-estates-karnataka-black-honey-filter-roast-medium-light
Subko Coffee Roasters,"Project Seven Sisters: Jampui, Tripura - Lot #249/170 - Medium Omni Roast [White Raisins, Caramel, Cinnamon]",Medium Omni Roast,"White Raisins, Caramel, Cinnamon","Jampui, Tripura",SLN9,Traditional Naturals,800-950 MASL,"Rs. 1,095.00",https://www.subko.coffee/products/project-seven-sisters-jampui-tripura-lot-1000-medium-roast-papaya-jammy-hazelnut-copy
Tulum Coffee,The Sol Blend - Medium Roast - Mellow,Medium,"Coconut Water, Natural Sweetness, Light Citrus Brightness, Clean Smooth Finish","Chikmagalur, Karnataka",100% Arabica,Washed + HSD + Burundi Washed,,Rs. 685.00,https://www.tulum.coffee/products/the-sol-blend-medium-roast-mellow
Tulum Coffee,The Lumen Blend - Light Roast,Light-Medium Roast,"Orange, Berries",Different regions of India,100% Arabica,,,Rs. 685.00,https://www.tulum.coffee/products/lumen
Tulum Coffee,Thogarihunkal Washed,Medium,"Chocolate, Jaggery, Peanut Chikki","Chikmagalur, Karnataka",Chandragiri,Washed,3800 - 4200ft,Rs. 685.00,https://www.tulum.coffee/products/thogarihunkal-medium-roasted-coffee
Tulum Coffee,Baarbara HSD - Hazelnutty,Medium-Dark,"Hazelnut, Grape, Cocoa, Orange","Bababudangiri, Chikmagalur",100% Arabica,Honey Sun Dried,3850 - 5350ft,Rs. 685.00,https://www.tulum.coffee/products/baarbara
Tulum Coffee,The Swell Blend,Medium,"Chocolatey, Nutty, Fruity",Chikmagalur,100% Arabica,,,Rs. 685.00,https://www.tulum.coffee/products/the-swell-blend-specialty-blend
Tulum Coffee,Pulneys - Dark Roast - Cacao Nibs,Dark,"Cacao Nibs, Brown Sugar, Dark Chocolate, Full Bodied, Lingering aftertaste","Pachalur, Pulney region",100% Arabica,Semi Washed,4900+ft,Rs. 685.00,https://www.tulum.coffee/products/pulneys-100-organic-coffee
Tulum Coffee,The Saigon Blend,Dark,"Toasted Nuts, Cacao",India,Arabica,,,Rs. 685.00,https://www.tulum.coffee/products/the-saigon-blend-specialty-blend
